Symptoms,Species,Disease
Off my on fur falling dog's ears. and formation crust,Dog,Dog_Scabies
"Dry, flaky skin with severe discomfort in my dog..",Dog,Dog_Scabies
The bumps. dog red continuously and scratches has,Dog,Dog_Scabies
My bumps. scratches red and dog continuously has,Dog,Dog_Scabies
Intense skin my patches on dog’s and scaly irritation elbows.,Dog,Dog_Scabies
My intense and elbows. scratching persistent dog’s patches scaly on,Dog,Dog_Scabies
On crust dog's ears.. hair formation my shedding and,Dog,Dog_Scabies
Ears.. my crust formation shedding hair dog's and on,Dog,Dog_Scabies
Crust formation and missing patches of fur on my dog's ears.,Dog,Dog_Scabies
Intense elbows. my scaly persistent patches on scratching and dog’s,Dog,Dog_Scabies
Dog continuously red and bumps. the scratches has,Dog,Dog_Scabies
On dog’s and scaly scratching persistent my intense patches elbows.,Dog,Dog_Scabies
Intense constant discomfort and scaly patches on my dog’s elbows..,Dog,Dog_Scabies
Crust formation and hair shedding on my dog's ears.,Dog,Dog_Scabies
Has continuously scratches dog and red bumps. the,Dog,Dog_Scabies
And scratching persistent scaly intense my dog’s on elbows.. patches,Dog,Dog_Scabies
And dog scratches has bumps.. continuously red the,Dog,Dog_Scabies
Intense skin elbows.. my and dog’s on irritation patches scaly,Dog,Dog_Scabies
My dog scratches continuously and has red bumps..,Dog,Dog_Scabies
"Dog.. in discomfort severe skin my flaky with dry,",Dog,Dog_Scabies
Crust formation and missing patches of fur on my dog's ears..,Dog,Dog_Scabies
Crust formation and fur falling off on my dog's ears.,Dog,Dog_Scabies
Intense skin irritation and scaly patches on my dog’s elbows..,Dog,Dog_Scabies
Of on ears. missing crust dog's and my patches fur formation,Dog,Dog_Scabies
"Severe in dry, flaky skin with dog. discomfort my",Dog,Dog_Scabies
My dog scratches continuously and has red bumps.,Dog,Dog_Scabies
The dog scratches continuously and has red bumps..,Dog,Dog_Scabies
"Dry, flaky skin with severe discomfort in my dog.",Dog,Dog_Scabies
The dog scratches continuously and has red bumps.,Dog,Dog_Scabies
Crust formation and hair shedding on my dog's ears..,Dog,Dog_Scabies
Falling and off crust fur on ears.. my dog's formation,Dog,Dog_Scabies
And my dog has bumps. continuously scratches red,Dog,Dog_Scabies
My and formation ears. fur patches crust on dog's missing of,Dog,Dog_Scabies
Scaly dog’s my intense irritation on patches skin and elbows.,Dog,Dog_Scabies
Ears. my and on dog's shedding crust hair formation,Dog,Dog_Scabies
Discomfort scaly intense patches on my constant and elbows. dog’s,Dog,Dog_Scabies
Intense persistent scratching and scaly patches on my dog’s elbows..,Dog,Dog_Scabies
Hair crust dog's shedding ears. on and my formation,Dog,Dog_Scabies
"Flaky in with severe my discomfort skin dog. dry,",Dog,Dog_Scabies
Intense scaly elbows. scratching persistent my patches and dog’s on,Dog,Dog_Scabies
Crust formation and fur falling off on my dog's ears..,Dog,Dog_Scabies
Intense persistent scratching and scaly patches on my dog’s elbows.,Dog,Dog_Scabies
Fur ears. on patches of my crust and dog's formation missing,Dog,Dog_Scabies
Intense constant discomfort and scaly patches on my dog’s elbows.,Dog,Dog_Scabies
"My with in severe discomfort dry, flaky skin dog..",Dog,Dog_Scabies
"Everything problems no at looks fine, all.",Dog,Healthy_Dog
Dog no issues—my eating well.. and is energetic,Dog,Healthy_Dog
Normally acting has skin. and dog is clear the,Dog,Healthy_Dog
My dog is acting normally and has clear skin.,Dog,Healthy_Dog
No issues—my dog is energetic and eating well.,Dog,Healthy_Dog
Is no eating energetic and dog well. issues—my,Dog,Healthy_Dog
"Or itchiness seen.. healthy no fur, redness",Dog,Healthy_Dog
"Looks all.. at no everything problems fine,",Dog,Healthy_Dog
"Itchiness healthy seen. redness or no fur,",Dog,Healthy_Dog
"Healthy fur, no redness or itchiness seen.",Dog,Healthy_Dog
The clear skin.. is and normally acting has dog,Dog,Healthy_Dog
"At everything no all.. looks fine, problems",Dog,Healthy_Dog
"Everything looks fine, no problems at all.",Dog,Healthy_Dog
Eating dog is no and issues—my well. energetic,Dog,Healthy_Dog
The dog is acting normally and has clear skin..,Dog,Healthy_Dog
The has acting is skin.. dog clear normally and,Dog,Healthy_Dog
Acting normally the is and clear dog has skin..,Dog,Healthy_Dog
"Or healthy redness seen. fur, itchiness no",Dog,Healthy_Dog
"Everything looks fine, no problems at all..",Dog,Healthy_Dog
No dog issues—my is well.. and energetic eating,Dog,Healthy_Dog
Skin. normally is the dog clear acting and has,Dog,Healthy_Dog
Dog and eating is issues—my no energetic well.,Dog,Healthy_Dog
"Redness fur, no or seen. healthy itchiness",Dog,Healthy_Dog
No is dog energetic well. issues—my and eating,Dog,Healthy_Dog
Well. and is dog no eating issues—my energetic,Dog,Healthy_Dog
"Everything problems at looks fine, no all.",Dog,Healthy_Dog
And acting normally dog is skin. my clear has,Dog,Healthy_Dog
The dog is acting normally and has clear skin.,Dog,Healthy_Dog
My dog is acting normally and has clear skin..,Dog,Healthy_Dog
"Fur, seen. healthy redness no itchiness or",Dog,Healthy_Dog
"Or fur, redness itchiness seen. healthy no",Dog,Healthy_Dog
Eating well. issues—my energetic no is dog and,Dog,Healthy_Dog
"Healthy seen. or redness itchiness fur, no",Dog,Healthy_Dog
Skin. the and has is clear acting normally dog,Dog,Healthy_Dog
"No seen.. fur, redness itchiness or healthy",Dog,Healthy_Dog
Has dog is normally and skin. clear acting the,Dog,Healthy_Dog
Dog issues—my eating energetic no is and well.,Dog,Healthy_Dog
Acting is dog and clear my normally skin. has,Dog,Healthy_Dog
No energetic well. is and issues—my eating dog,Dog,Healthy_Dog
"Seen. redness itchiness no fur, healthy or",Dog,Healthy_Dog
Issues—my well.. is no eating dog energetic and,Dog,Healthy_Dog
No and eating dog energetic is well.. issues—my,Dog,Healthy_Dog
"Seen. or redness no itchiness healthy fur,",Dog,Healthy_Dog
My and acting has dog normally clear is skin.,Dog,Healthy_Dog
"Itchiness healthy seen.. or no fur, redness",Dog,Healthy_Dog
No issues—my dog is energetic and eating well..,Dog,Healthy_Dog
"Healthy fur, no redness or itchiness seen..",Dog,Healthy_Dog
"Problems looks at all. fine, everything no",Dog,Healthy_Dog
"Everything all. looks no fine, at problems",Dog,Healthy_Dog
"No looks fine, everything all. problems at",Dog,Healthy_Dog
"Red, licking keeps the dog a spot. inflamed",Dog,Hotspot
"Spot.. the dog a red, keeps licking inflamed",Dog,Hotspot
"Leg. area on swollen, the infected visible dog’s",Dog,Hotspot
Back.. with wound loss the hair on oozing,Dog,Hotspot
"The dog’s leg. infected swollen, visible area on",Dog,Hotspot
"On developed neck. painful moist, sores my dog's",Dog,Hotspot
"Neck. dog's painful developed moist, sores on my",Dog,Hotspot
"My dog keeps licking a red, inflamed spot..",Dog,Hotspot
"Neck. sores developed moist, painful on my dog's",Dog,Hotspot
"On the dog’s leg.. area swollen, visible infected",Dog,Hotspot
Oozing wound with hair loss on the back..,Dog,Hotspot
"Swollen, infected area visible on the dog’s leg..",Dog,Hotspot
"Spot.. licking dog red, inflamed the keeps a",Dog,Hotspot
Oozing the wound back.. with loss hair on,Dog,Hotspot
"Dog's sores moist, on neck. my developed painful",Dog,Hotspot
"Painful dog's neck. moist, my sores developed on",Dog,Hotspot
"Moist, dog's sores painful my developed neck.. on",Dog,Hotspot
"Dog a licking my keeps red, inflamed spot.",Dog,Hotspot
"Keeps inflamed red, a licking dog spot. my",Dog,Hotspot
On with back.. oozing hair the loss wound,Dog,Hotspot
"Inflamed licking keeps red, spot. dog my a",Dog,Hotspot
Loss on the oozing wound back. with hair,Dog,Hotspot
"Swollen, dog’s visible area infected the on leg.",Dog,Hotspot
Loss with hair back. on wound oozing the,Dog,Hotspot
With the loss hair on oozing wound back..,Dog,Hotspot
"Moist, painful sores developed on my dog's neck.",Dog,Hotspot
"Swollen, dog’s area leg. the visible on infected",Dog,Hotspot
On oozing the with wound loss back. hair,Dog,Hotspot
"Red, licking spot.. dog keeps a my inflamed",Dog,Hotspot
"Inflamed dog spot. licking my keeps red, a",Dog,Hotspot
"My dog keeps licking a red, inflamed spot.",Dog,Hotspot
Hair wound oozing the on back.. with loss,Dog,Hotspot
"Red, spot.. dog inflamed licking the a keeps",Dog,Hotspot
Back.. loss on with oozing the hair wound,Dog,Hotspot
Oozing wound with hair loss on the back.,Dog,Hotspot
"Red, licking keeps dog the a spot. inflamed",Dog,Hotspot
"Moist, painful sores developed on my dog's neck..",Dog,Hotspot
The back. wound on loss hair with oozing,Dog,Hotspot
"Moist, neck. sores painful my on developed dog's",Dog,Hotspot
"Neck. dog's on moist, sores developed my painful",Dog,Hotspot
"Keeps a my licking red, dog inflamed spot.",Dog,Hotspot
"Licking my inflamed keeps a dog red, spot.",Dog,Hotspot
